Internal1,Internal1,Internal1,Internal2,Internal2,Internal2,Internal3,Internal3,Internal3,Internal4,Internal4,Internal4
403.578,994.675,134.716,426.022,964.501,134.604,422.431,939.779,121.869,408.731,998.044,99.4593
403.403,994.467,134.557,426.035,964.509,134.585,422.426,939.784,121.872,408.723,998.037,99.4615
403.656,994.79,134.738,426.034,964.505,134.55,422.424,939.773,121.863,408.72,998.05,99.4629
403.588,994.669,134.688,426.026,964.501,134.562,422.415,939.768,121.871,408.726,998.051,99.4588
403.561,994.659,134.684,426.014,964.488,134.572,422.437,939.787,121.869,408.714,998.048,99.4534
403.56,994.647,134.688,426.019,964.498,134.564,422.411,939.787,121.866,408.718,998.034,99.4416
403.442,994.688,134.6,426.008,964.531,134.574,422.393,939.782,121.866,408.708,998.037,99.4354
403.389,994.463,134.57,426.006,964.516,134.578,422.4,939.784,121.87,408.714,998.025,99.4291
403.525,994.634,134.67,426.007,964.526,134.59,422.395,939.793,121.86,408.711,998.034,99.4231
403.515,994.61,134.678,425.997,964.503,134.557,422.398,939.787,121.853,408.705,998.021,99.4282
403.397,994.482,134.6,425.984,964.506,134.562,422.369,939.784,121.861,408.711,998.021,99.43
403.301,994.519,134.504,425.979,964.513,134.576,422.383,939.798,121.849,408.706,998.015,99.4184
403.36,994.479,134.573,425.976,964.514,134.578,422.389,939.788,121.864,408.71,998.008,99.4205
403.481,994.606,134.662,425.964,964.546,134.596,422.38,939.802,121.862,408.69,998.011,99.4028
403.483,994.606,134.647,425.968,964.517,134.58,422.381,939.805,121.854,408.693,998.011,99.4095
403.359,994.477,134.575,425.985,964.525,134.593,422.385,939.803,121.854,408.689,998.013,99.3973
403.422,994.354,134.569,425.981,964.531,134.583,422.379,939.807,121.864,408.699,998.007,99.4004
403.485,994.603,134.682,425.973,964.511,134.578,422.378,939.804,121.856,408.696,998.014,99.4072
403.527,994.515,134.654,425.988,964.527,134.585,422.371,939.797,121.863,408.688,998.024,99.4071
403.467,994.628,134.661,425.974,964.532,134.581,422.37,939.796,121.855,408.697,998.025,99.4103
403.478,994.615,134.648,425.977,964.532,134.589,422.37,939.807,121.859,408.694,998.009,99.4108
403.37,994.472,134.58,425.976,964.519,134.572,422.373,939.811,121.864,408.699,998.018,99.407
403.475,994.621,134.654,425.983,964.519,134.575,422.375,939.811,121.86,408.699,998.021,99.4047
403.441,994.584,134.6,425.974,964.521,134.58,422.366,939.809,121.863,408.697,998.022,99.3999
403.429,994.601,134.619,425.976,964.517,134.591,422.365,939.809,121.865,408.817,998.166,99.4842
403.509,994.637,134.665,425.981,964.511,134.572,422.367,939.813,121.864,408.693,998.016,99.4059
403.391,994.485,134.576,425.983,964.529,134.593,422.39,939.824,121.858,408.701,998.029,99.4038
403.532,994.519,134.626,425.982,964.526,134.588,422.389,939.813,121.872,408.703,998.026,99.4118
403.482,994.643,134.645,425.988,964.514,134.572,422.384,939.809,121.864,408.704,998.017,99.4046
403.386,994.495,134.576,425.983,964.525,134.573,422.394,939.827,121.858,408.824,998.148,99.4976
403.554,994.536,134.63,425.99,964.523,134.573,422.382,939.832,121.859,408.823,998.151,99.4891
403.529,994.725,134.661,425.996,964.526,134.574,422.399,939.819,121.881,408.827,998.155,99.4898
403.566,994.538,134.669,425.988,964.512,134.562,422.4,939.835,121.866,408.714,998.026,99.4082
403.396,994.491,134.57,425.993,964.528,134.572,422.375,939.816,121.872,408.711,998.025,99.4032
403.493,994.637,134.657,425.993,964.529,134.586,422.411,939.815,121.878,408.72,998.028,99.405
403.413,994.504,134.557,426.006,964.54,134.574,422.396,939.832,121.861,408.709,998.013,99.407
403.453,994.62,134.596,426.011,964.53,134.579,422.417,939.825,121.88,408.718,998.02,99.4128
403.474,994.618,134.62,426.006,964.535,134.595,422.418,939.819,121.877,408.717,998.011,99.4128
403.445,994.668,134.574,426.02,964.537,134.598,422.412,939.823,121.876,408.715,998.014,99.401
403.427,994.493,134.556,425.977,964.504,134.568,422.423,939.818,121.876,408.716,997.999,99.4061
403.452,994.503,134.565,425.998,964.516,134.595,422.406,939.806,121.878,408.855,998.158,99.4951
403.591,994.715,134.687,425.992,964.515,134.595,422.411,939.815,121.884,408.85,998.142,99.4892
403.55,994.623,134.648,425.997,964.505,134.572,422.426,939.814,121.879,408.734,997.999,99.4148
403.469,994.506,134.552,426.006,964.516,134.577,422.434,939.817,121.873,408.728,998.008,99.4088
403.553,994.645,134.635,426.015,964.51,134.578,422.438,939.816,121.873,408.748,998.012,99.4169
403.54,994.641,134.653,426.013,964.51,134.565,422.433,939.814,121.88,408.869,998.131,99.496
403.555,994.624,134.645,426.044,964.537,134.593,422.437,939.823,121.873,408.75,998.008,99.4111
403.464,994.499,134.58,426.036,964.523,134.591,422.439,939.817,121.887,408.758,998.003,99.4203
403.59,994.494,134.589,426.029,964.495,134.559,422.441,939.806,121.877,408.76,997.996,99.4265
403.611,994.729,134.673,426.029,964.514,134.579,422.449,939.809,121.871,408.874,998.133,99.4734
403.434,994.579,134.497,426.039,964.503,134.571,422.455,939.811,121.886,408.762,997.987,99.4134
403.528,994.528,134.548,426.048,964.516,134.592,422.468,939.803,121.888,408.772,998,99.4227
403.661,994.603,134.674,426.057,964.507,134.564,422.462,939.811,121.886,408.888,998.132,99.4887
403.616,994.502,134.625,426.055,964.496,134.583,422.469,939.805,121.884,408.773,997.991,99.4008
403.515,994.58,134.602,426.049,964.508,134.584,422.47,939.804,121.868,408.772,997.993,99.3932
403.473,994.61,134.549,426.053,964.518,134.6,422.47,939.799,121.882,408.788,998.01,99.4063
403.494,994.434,134.51,426.067,964.503,134.576,422.472,939.792,121.883,408.79,997.995,99.4087
403.586,994.606,134.636,426.065,964.51,134.595,422.488,939.803,121.881,408.779,997.965,99.4097
403.604,994.605,134.643,426.064,964.499,134.595,422.484,939.792,121.891,408.786,997.981,99.4062
403.515,994.481,134.587,426.076,964.493,134.57,422.479,939.794,121.879,408.782,997.982,99.4022
403.508,994.484,134.573,426.079,964.509,134.597,422.493,939.787,121.883,408.779,997.979,99.4052
403.554,994.515,134.549,426.081,964.496,134.572,422.482,939.795,121.883,408.796,997.98,99.4137
403.513,994.452,134.563,426.088,964.506,134.595,422.496,939.796,121.891,408.787,997.976,99.4094
403.708,994.583,134.673,426.082,964.491,134.593,422.503,939.789,121.89,408.788,997.975,99.41
403.691,994.561,134.662,426.101,964.512,134.604,422.495,939.79,121.88,408.798,997.983,99.4177
403.659,994.499,134.633,426.083,964.504,134.586,422.504,939.791,121.89,408.796,997.973,99.4162
403.612,994.451,134.583,426.092,964.501,134.593,422.498,939.802,121.882,408.808,997.984,99.414
403.474,994.507,134.52,426.103,964.508,134.59,422.507,939.791,121.89,408.803,997.985,99.4113
403.522,994.424,134.522,426.086,964.491,134.575,422.504,939.789,121.895,408.803,997.977,99.4105
403.511,994.565,134.475,426.103,964.503,134.605,422.511,939.796,121.879,408.807,997.982,99.4087
403.629,994.459,134.613,426.1,964.509,134.61,422.514,939.796,121.9,408.81,997.964,99.4065
403.643,994.428,134.546,426.115,964.517,134.607,422.505,939.802,121.888,408.817,997.981,99.4056
403.572,994.578,134.62,426.117,964.501,134.588,422.512,939.799,121.894,408.811,997.973,99.4066
403.584,994.498,134.546,426.112,964.509,134.591,422.524,939.795,121.891,408.828,997.977,99.4132
403.586,994.532,134.581,426.108,964.515,134.621,422.524,939.796,121.884,408.828,997.981,99.4176
403.602,994.534,134.558,426.113,964.509,134.62,422.552,939.792,121.887,408.826,997.987,99.4042
403.612,994.488,134.489,426.117,964.512,134.603,422.541,939.79,121.894,408.831,997.978,99.4186
403.602,994.542,134.56,426.115,964.507,134.602,422.522,939.79,121.892,408.834,997.97,99.4118
403.602,994.751,134.63,426.126,964.53,134.614,422.542,939.798,121.892,408.835,997.97,99.4206
403.612,994.54,134.536,426.101,964.498,134.574,422.535,939.793,121.902,408.835,997.97,99.4141
403.631,994.516,134.491,426.119,964.507,134.58,422.554,939.808,121.89,408.839,997.978,99.4114
403.671,994.446,134.525,426.134,964.52,134.591,422.551,939.8,121.899,408.852,997.969,99.4213
403.57,994.61,134.496,426.135,964.522,134.584,422.559,939.797,121.892,408.856,997.965,99.4109
403.699,994.46,134.538,426.141,964.515,134.596,422.556,939.81,121.875,408.852,997.984,99.4067
403.649,994.523,134.479,426.147,964.523,134.589,422.577,939.805,121.893,408.849,997.969,99.4086
403.715,994.461,134.535,426.13,964.52,134.6,422.569,939.798,121.889,408.863,997.981,99.4197
403.713,994.462,134.535,426.141,964.525,134.6,422.574,939.8,121.892,408.861,997.981,99.4005
403.696,994.583,134.551,426.148,964.515,134.596,422.583,939.805,121.897,408.871,997.982,99.4043
403.708,994.436,134.55,426.152,964.521,134.6,422.588,939.784,121.885,408.881,997.972,99.415
403.631,994.469,134.472,426.163,964.513,134.593,422.591,939.805,121.878,408.878,997.983,99.3985
403.638,994.476,134.499,426.158,964.522,134.606,422.596,939.792,121.893,408.881,997.98,99.4107
403.659,994.533,134.561,426.16,964.497,134.598,422.588,939.796,121.89,408.882,997.973,99.4028
403.644,994.479,134.49,426.163,964.513,134.598,422.585,939.787,121.883,408.872,997.963,99.4018
403.584,994.595,134.516,426.178,964.516,134.609,422.61,939.788,121.891,408.878,997.963,99.4133
403.643,994.594,134.51,426.176,964.511,134.607,422.607,939.795,121.888,408.883,997.955,99.4027
403.683,994.477,134.481,426.171,964.511,134.609,422.607,939.782,121.889,408.899,997.961,99.4109
403.754,994.444,134.57,426.174,964.513,134.601,422.616,939.793,121.887,408.893,997.956,99.4126
403.66,994.511,134.49,426.177,964.519,134.624,422.612,939.778,121.875,408.91,997.971,99.4172
403.756,994.62,134.579,426.185,964.513,134.61,422.617,939.778,121.889,408.911,997.948,99.4219
403.696,994.507,134.481,426.192,964.508,134.578,422.631,939.792,121.876,408.919,997.955,99.421
403.883,994.585,134.619,426.196,964.527,134.607,422.633,939.787,121.892,408.92,997.97,99.4066
403.713,994.518,134.499,426.191,964.504,134.584,422.621,939.783,121.884,408.84,997.904,99.3576
403.741,994.515,134.496,426.204,964.498,134.577,422.635,939.789,121.888,408.892,997.868,99.3897
403.811,994.601,134.563,426.192,964.494,134.592,422.627,939.783,121.877,408.931,997.941,99.4226
403.92,994.559,134.645,426.208,964.512,134.609,422.64,939.786,121.874,408.926,997.942,99.4125
403.741,994.509,134.485,426.208,964.512,134.595,422.645,939.79,121.883,408.891,997.869,99.3818
403.75,994.501,134.49,426.193,964.495,134.577,422.629,939.788,121.882,408.934,997.938,99.4195
403.914,994.547,134.627,426.208,964.509,134.574,422.632,939.796,121.874,408.931,997.951,99.4073
403.768,994.537,134.505,426.208,964.511,134.577,422.642,939.795,121.876,408.933,997.958,99.3967
403.68,994.577,134.485,426.203,964.518,134.585,422.636,939.787,121.88,408.926,997.948,99.4102
403.81,994.491,134.548,426.215,964.517,134.587,422.639,939.796,121.88,408.922,997.957,99.3976
403.67,994.568,134.489,426.216,964.506,134.576,422.65,939.802,121.882,408.935,997.948,99.4079
403.776,994.505,134.545,426.208,964.515,134.595,422.651,939.805,121.876,408.943,997.955,99.4149
403.742,994.54,134.478,426.213,964.516,134.584,422.653,939.798,121.885,408.935,997.951,99.4078
403.828,994.633,134.574,426.216,964.522,134.592,422.65,939.799,121.884,408.902,997.857,99.3951
403.745,994.536,134.488,426.209,964.518,134.598,422.65,939.795,121.876,408.927,997.936,99.409
403.812,994.621,134.545,426.213,964.525,134.586,422.645,939.795,121.885,408.895,997.864,99.4036
403.723,994.527,134.471,426.223,964.518,134.595,422.645,939.805,121.885,408.927,997.947,99.4089
403.719,994.541,134.526,426.21,964.517,134.6,422.641,939.795,121.875,408.888,997.862,99.3872
403.757,994.665,134.55,426.229,964.52,134.595,422.658,939.793,121.878,408.924,997.951,99.4017
403.738,994.557,134.476,426.195,964.495,134.582,422.653,939.793,121.876,408.935,997.947,99.4054
403.703,994.535,134.461,426.217,964.524,134.592,422.643,939.776,121.891,408.938,997.938,99.4104
403.679,994.537,134.473,426.205,964.496,134.592,422.647,939.775,121.886,408.927,997.941,99.4144
403.762,994.686,134.649,426.198,964.506,134.611,422.666,939.754,121.884,408.932,997.943,99.4098
403.782,994.545,134.648,426.204,964.494,134.592,422.641,939.765,121.887,408.916,997.932,99.4123
403.743,994.413,134.565,426.189,964.493,134.597,422.642,939.769,121.88,408.919,997.927,99.4221
403.66,994.436,134.5,426.191,964.49,134.599,422.632,939.751,121.886,408.916,997.942,99.4144
403.761,994.634,134.676,426.188,964.488,134.587,422.625,939.752,121.887,408.925,997.934,99.4149
403.741,994.407,134.559,426.184,964.472,134.577,422.622,939.744,121.889,408.913,997.934,99.434
403.746,994.552,134.593,426.182,964.48,134.58,422.619,939.742,121.881,408.91,997.922,99.4195
403.721,994.54,134.587,426.182,964.477,134.596,422.628,939.728,121.896,408.919,997.927,99.4215
403.733,994.555,134.589,426.184,964.467,134.595,422.609,939.734,121.886,408.898,997.935,99.4287
403.664,994.453,134.501,426.169,964.452,134.571,422.615,939.732,121.886,408.902,997.95,99.4456
403.802,994.503,134.644,426.175,964.479,134.616,422.618,939.738,121.881,408.898,997.923,99.4415
403.673,994.448,134.496,426.145,964.454,134.574,422.612,939.729,121.886,408.911,997.938,99.4423
403.659,994.511,134.599,426.142,964.449,134.599,422.612,939.706,121.881,408.91,997.926,99.4424
403.625,994.4,134.516,426.146,964.444,134.578,422.617,939.771,121.85,408.893,997.927,99.413
403.716,994.501,134.584,426.152,964.439,134.583,422.534,939.822,121.86,409.008,998.054,99.5118
403.595,994.368,134.536,426.151,964.445,134.576,422.522,939.833,121.865,408.891,997.939,99.4346
403.623,994.416,134.493,426.14,964.446,134.615,422.522,939.851,121.868,409.009,998.058,99.5133
403.609,994.408,134.506,426.15,964.456,134.589,422.516,939.859,121.866,408.886,997.939,99.4354
403.724,994.34,134.566,426.15,964.461,134.609,422.526,939.837,121.868,408.888,997.952,99.4234
403.663,994.299,134.596,426.151,964.465,134.589,422.567,939.783,121.87,408.878,997.951,99.4288
403.788,994.485,134.701,426.136,964.47,134.599,422.588,939.749,121.88,408.876,997.948,99.4352
403.621,994.418,134.509,426.142,964.477,134.602,422.608,939.752,121.866,408.885,997.966,99.4073
403.652,994.413,134.51,426.136,964.477,134.594,422.575,939.755,121.876,408.882,997.955,99.4219
403.738,994.567,134.623,426.141,964.468,134.576,422.604,939.748,121.882,408.966,998.009,99.3327
