Internal1,Internal1,Internal1,Internal2,Internal2,Internal2,Internal3,Internal3,Internal3,Internal4,Internal4,Internal4
413.48,1093.57,134.699,429.58,1059.89,134.695,421.459,1036.21,121.936,419.311,1096.21,99.7187
413.499,1093.58,134.702,429.533,1059.86,134.704,421.467,1036.21,121.929,419.258,1096.2,99.6678
413.505,1093.58,134.699,429.537,1059.88,134.732,421.453,1036.21,121.936,419.274,1096.22,99.6695
413.499,1093.58,134.705,429.533,1059.85,134.707,421.46,1036.22,121.929,419.27,1096.2,99.6656
413.495,1093.58,134.702,429.538,1059.85,134.707,421.472,1036.22,121.921,419.282,1096.2,99.6694
413.513,1093.57,134.699,429.59,1059.89,134.687,421.487,1036.22,121.92,419.331,1096.22,99.7279
413.511,1093.57,134.698,429.538,1059.89,134.741,421.479,1036.23,121.929,419.334,1096.22,99.7218
413.513,1093.54,134.703,429.54,1059.88,134.747,421.481,1036.23,121.933,419.301,1096.19,99.6791
413.523,1093.55,134.696,429.58,1059.84,134.632,421.479,1036.22,121.918,419.3,1096.19,99.6747
413.526,1093.54,134.701,429.603,1059.88,134.667,421.489,1036.21,121.909,419.304,1096.17,99.6748
413.535,1093.53,134.702,429.612,1059.89,134.67,421.483,1036.21,121.917,419.318,1096.18,99.6827
413.533,1093.51,134.707,429.575,1059.86,134.691,421.498,1036.22,121.917,419.307,1096.16,99.674
413.527,1093.5,134.708,429.669,1059.96,134.685,421.495,1036.2,121.914,419.343,1096.14,99.718
413.547,1093.5,134.711,429.616,1059.87,134.684,421.525,1036.2,121.916,419.36,1096.14,99.7264
413.563,1093.48,134.704,429.591,1059.83,134.712,421.516,1036.17,121.911,419.369,1096.13,99.7239
413.549,1093.47,134.704,429.676,1059.9,134.688,421.521,1036.17,121.909,419.379,1096.12,99.7232
413.574,1093.47,134.702,429.649,1059.82,134.693,421.53,1036.15,121.913,419.373,1096.12,99.73
413.585,1093.45,134.696,429.672,1059.81,134.689,421.542,1036.15,121.91,419.388,1096.1,99.7185
413.59,1093.44,134.699,429.645,1059.78,134.715,421.543,1036.12,121.912,419.415,1096.08,99.7291
413.601,1093.42,134.69,429.637,1059.77,134.716,421.566,1036.11,121.919,419.41,1096.1,99.7148
413.608,1093.43,134.708,429.687,1059.78,134.692,421.564,1036.11,121.911,419.426,1096.07,99.7278
413.601,1093.4,134.692,429.653,1059.74,134.732,421.586,1036.09,121.902,419.413,1096.07,99.7214
413.608,1093.41,134.697,429.69,1059.79,134.738,421.57,1036.08,121.905,419.428,1096.04,99.7208
413.596,1093.43,134.712,429.674,1059.76,134.736,421.435,1036.05,121.958,419.436,1096.04,99.7239
413.616,1093.4,134.697,429.691,1059.76,134.717,421.582,1036.06,121.902,419.429,1096.03,99.7212
413.625,1093.39,134.7,429.68,1059.75,134.73,421.595,1036.07,121.91,419.442,1096.03,99.7142
413.619,1093.38,134.7,429.699,1059.75,134.713,421.594,1036.03,121.897,419.444,1096.02,99.7239
413.603,1093.39,134.708,429.688,1059.74,134.722,421.587,1036.03,121.906,419.446,1096.02,99.7268
413.626,1093.39,134.704,429.703,1059.74,134.725,421.59,1036.04,121.905,419.443,1096.01,99.7205
